title,tag
인턴,"['사람', '인생', '생각', '감동', '마음', '드니', '코미디', '인턴', '따뜻하다', '힐링', '잔잔하다', '로버트', '좋다', '평점', '재미']"
라라랜드,"['사람', '인생', '남자', '처음', '멜로', '뮤지컬', '로맨스', '스토리', '마지막', '노래', '재미없다', '드라마', '좋다', '음악', '평점', '아깝다', '노잼', '지루하다', '최악']"
캣츠,"['사람', '고양이', '메모리', '처음', '뮤지컬', '감상', '스토리', '중간', '노래', '드라마', '평', '좋다', '평점', '캣츠', '아깝다', '지루하다']"
원스 어폰 어 타임... 인 할리우드,"['히피', '배우', '배경', '코미디', '브래드피트', '마지막', '사건', '타란티노', '디카프리오', '감독', '샤론', '지식', '연기', '드라마', '좋다', '틴', '지루하다', '재미']"
이터널 선샤인,"['사람', '때', '인생', '생각', '처음', '멜로', '다시', '기억',  '로맨스', '아프다', '최고', 'SF', '사랑', '드라마', '추억', '좋다', ]"
위대한 개츠비,"['사람', '원작', '생각', '데이지', '멜로', '개츠비', '로맨스', '화려하다', '소설', '디카프리오', '아름답다', '위대하다', '사랑', '연기', '드라마', '여운', '좋다', '평점', ]"
인터스텔라,"['사람', '놀란', '생각', '감동', '최고', '말', 'SF', '인터스텔라', '감독', '평점', '지루하다', '재미']"
해피 데스데이,"['재미', '반전', '반복', '공포영화', '생각', '주인공', '여주', '왜', '무섭다', '공포', '미스터리', '좋다', '평점', '스릴러', '재미']"
암수살인,"['배우', '생각', '주지훈', '스토리', '김윤석', '범죄', '한국', '연기력', '사투리', '연기', '드라마', '형사', '좋다', '평점', '지루하다', '재미']"
비긴 어게인,"['때', '감동', '멜로',   '로맨스코미디', '스토리', '노래', '원스', '최고', '느낌', '드라마', '좋다', '음악', '평점', '재미']"
닥터 두리틀,"['재미', '가족', '귀엽다', '로다주', '생각', '코미디', '감상', '좋아하다', '스토리', '연기', '판타지', '평', '아이', '동물', '좋다', '재미']"
마션,"['생각', '감동', '모험', '우주', '맷', '재미', '데이먼', '인터스텔라', 'SF', '재미없다', '화성', '그래비티', '느낌', '드라마', '좋다', '평점', '지루하다', '중국']"
벤자민 버튼의 시간은 거꾸로 간다,"['사람', '때', '인생', '시간', '생각', '멜로', '다시', '벤자민',  '로맨스', '삶', '슬프다', '최고', '아름답다', '사랑', '드라마', '판타지', '명작', '여운', '좋다', ]"
주토피아,"['재미', '애니메이션', '가족', '귀엽다', '여우', '닉', '어른', '모험', '코미디', '나무늘보', '디즈니', '스토리', '최고', '아이', '액션', '토피아', '좋다', '캐릭터', '재미']"
서치,"['반전', '연출', '생각', '처음', '소름', '스토리', '몰입', '최고', '신선하다', '드라마', '몰입도', '좋다', '평점', '지루하다', '재미']"
사바하,"['사람', '재미', '생각',   '스토리', '이해', '종교', '왜', '많다', '감독', '미스터리', '좋다', '평점', '스릴러', '재미']"
빅쇼트,"['사람', '재미', '배우', '설명', '생각',  '경제', '금융', '이해', '어렵다', '최고', '연기', '드라마', '내용', '좋다', '다큐', '재미']"
그것,"['장면', '삐', '광대', '공포영화', '생각', '스토리', '무섭다', '공포', '드라마', '성장', '아이', '좋다', '평점', '애', '재미']"
유열의 음악앨범,"['시간', '배우', '생각', '멜로', '로맨스', '스토리', '왜', '정해인', '재미없다', '개연', '돈', '드라마', '좋다', '음악', '평점', '아깝다', ]"
인사이드 아웃,"['기쁨', '애니메이션', '때', '빙봉', '생각', '감동', '픽사', '어른', '슬픔', '코미디', '감정', '눈물', '최고', '아이', '좋다', '재미']"
베테랑,"['악역', '소름', '연기', '액션', '짱', '굿', '유아인', '다시', '최고', '드라마', '연기력', '대박', '재미', '베테랑', '황정민', '역시', '배우', '시간', '완전']"
암살,"['감동', '스토리', '역사', '연기', '액션', '다시', '최고', '드라마', '연기력', '생각', '재미', '하정우', '한번', '전지현', '역시', '배우', '시간', '이정재']"
완벽한 타인,"['유해진', '웃음', '삶', '추천', '연기', '그냥', '비밀', '최고', '현실', '드라마', '연기력', '생각', '공감', '재미', '코미디', '배우', '시간', ]"
범죄도시,"['최고', '완전', , '생각', '연기', '꿀잼', '액션', '역시', '배우', '마블리', '대박', '마동석', '시간', '굿', '조선족', '윤계상', '재미']"
지금 만나러 갑니다,"['손예진', '로맨스', '감동', '일본', '원작', '소지섭', '연기', '눈물', '다시', '최고', '사랑', '여운', '감성', '생각', '재미', '마음', '배우', '멜로', '웃기', ]"
엑시트,"[, '감동', '가족', '추천', '연기', '액션', '재난영화', '땀', '윤아', '재난', '생각', '재미', '조정석', '따따', '코미디', '배우', '시간', '손']"
변신,"['성동일', '소름', '둘째', '스릴러', '중간', '스토리', '가족', '연기', '공포', '그냥', '느낌', '최고', '결말', '연기력', '생각', '긴장감', '배우', '공포영화']"
국가부도의 날,"['우리', '국민', '부모님', '내용', '시절', '연기', '때', '상황', '지금', '유아인', '다시', '현실', '드라마', '생각', '당시', '한번', '배우', '김혜수', ]"
독전,"['범죄', '마지막', '반전', '스토리', '연기', '액션', '류준열', '류준', '최고', '결말', '김주혁', '연기력', '장면', '대박', '생각', '배우', '조진웅', '몰입', '시간', ]"
동주,"['우리', '감동', '삶', '시대', '연기', '동주', '가슴', '다시', '윤동주', '드라마', '여운', '흑백', '생각', '시', '마음', '시인', '배우', '강하늘', '송몽규']"